Nome;CEP;Transportadora;Preço;Prazo
arquitetizze;13091120;Super Expresso;R$ 11,62;1 à 11 dias
arquitetizze;13091120;Plimor;R$ 24,89;1 à 11 dias
arquitetizze;13091120;Frota Guapore;R$ 32,85;5 à 15 dias
arquitetizze;13091120;Remais;R$ 45,28;6 à 16 dias
arquitetizze;13091120;Camilo dos Santos;R$ 69,90;2 à 12 dias
arquitetizze;13091120;Transuni;R$ 70,87;4 à 14 dias
artyflex;13091120;Super Expresso ES;R$ 8,59;1 à 21 dias
artyflex;13091120;Expresso;R$ 23,54;2 à 22 dias
avant;13091120;Super Expresso ES;R$ 8,66;1 à 21 dias
avant;13091120;Expresso;R$ 23,56;2 à 22 dias
bel-lazer;13091120;Expresso;Frete Grátis;2 à 22 dias
bella-janela;13091120;Super Expresso ES;R$ 10,61;1 à 21 dias
bella-janela;13091120;Expresso;R$ 23,64;2 à 22 dias
black-decker;13091120;Expresso;Frete Grátis;2 à 22 dias
boxer;13091120;Expresso;Frete Grátis;2 à 22 dias
bronzearte;13091120;Super Expresso ES;R$ 13,17;1 à 21 dias
bronzearte;13091120;Expresso;R$ 23,78;2 à 22 dias
celite;13091120;Super Expresso ES;R$ 11,74;1 à 21 dias
celite;13091120;Expresso;R$ 23,97;2 à 22 dias
ceusa;13091120;ERRO;ERRRO;ERRO
chamalux;13091120;ERRO;ERRRO;ERRO
chandelie;13091120;Super Expresso ES;R$ 17,69;1 à 21 dias
chandelie;13091120;Expresso;R$ 26,15;2 à 22 dias
cortag;13091120;Super Expresso ES;R$ 8,53;1 à 21 dias
cortag;13091120;Expresso;R$ 23,52;2 à 22 dias
cromalux;13091120;Super Expresso;R$ 8,97;1 à 11 dias
cromalux;13091120;Frota Guapore;R$ 12,30;5 à 15 dias
cromalux;13091120;Plimor;R$ 24,19;1 à 11 dias
cromalux;13091120;Remais;R$ 43,23;6 à 16 dias
cromalux;13091120;Camilo dos Santos;R$ 69,20;2 à 12 dias
cromalux;13091120;Transuni;R$ 70,58;4 à 14 dias
csm;13091120;Expresso;Frete Grátis;2 à 22 dias
cumulus;13091120;Expresso;Frete Grátis;2 à 22 dias
deca;13091120;Super Expresso ES;R$ 14,92;1 à 4 dias
deca;13091120;Expresso;R$ 24,93;2 à 5 dias
docol;13091120;Super Expresso ES;R$ 10,45;1 à 21 dias
docol;13091120;Expresso;R$ 23,59;2 à 22 dias
durafloor;13091120;Plimor;R$ 31,74;1 à 11 dias
durafloor;13091120;Super Expresso;R$ 52,37;1 à 11 dias
durafloor;13091120;Remais;R$ 55,87;6 à 16 dias
durafloor;13091120;Frota Guapore;R$ 68,67;5 à 15 dias
durafloor;13091120;Camilo dos Santos;R$ 71,12;2 à 12 dias
durafloor;13091120;Transuni;R$ 71,37;4 à 14 dias
eglo;13091120;Super Expresso ES;R$ 14,76;1 à 21 dias
eglo;13091120;Expresso;R$ 24,46;2 à 22 dias
europa;13091120;ERRO;ERRRO;ERRO
