IDENTIFICADOR;SKU;Lojas Guaporé;Player 1;Price 1;Player 2;Price 2
7898152180557    ;927001000    ;;;;;
7891506026655    ;FABRIMAR-A-3-LO-CR;;;;;
7898626574172    ;MIDEA-LSX122;;;;;
7894200209171    ;000.448.034.01;;;;;
7891461306830    ;917044    ;;;;;
7891461294717    ;919706    ;;;;;
7891461294724    ;919806    ;;;;;
7891461310646    ;919944    ;;;;;
7891461310653    ;919969    ;;;;;
7891461296254    ;921306    ;;;;;
7891461306274    ;926144    ;;;;;
7891461306328    ;926269    ;;;;;
7891461307110    ;926370    ;;;;;
7891461299187    ;926706    ;;;;;
7891461310578    ;931069    ;;;;;
7891461306557    ;931106    ;;;;;
7900000196426    ;Novo-507;;;;;
7894201059348    ;10085616    ;;;;;
7894201059355    ;10085617    ;;;;;
7894201058495    ;10085530    ;;;;;
7896779428212    ;7896779428212    ;;;;;
7896779431106    ;7896779431106    ;;;;;
7896779404278    ;7896779404278    ;;;;;
7896779431274    ;7896779431274    ;;;;;
7891222062562    ;H085XC-BR;;;;;
7891222259757    ;H088XCQ-BR;;;;;
7891222259658    ;H087BCQ-BR;;;;;
7891222153468    ;HA088BC-BR;;;;;
7891222211939    ;H088WC-BR;;;;;
7891222192467    ;HA086BC-BR;;;;;
7891222259238    ;H055BCQ-BR;;;;;
7891222259511    ;H078XCQ-BR;;;;;
7891222065020    ;H147XC-BR;;;;;
7891222260852    ;H188BCQ-BR;;;;;
7891222084557    ;H158BC-BR;;;;;
7891222260593    ;H158XCQ-BR;;;;;
7891222088807    ;H178XC-BR;;;;;
7891222061367    ;H053XC-BR;;;;;
7891222063347    ;H108XC-BR;;;;;
7891222260135    ;H126BCQ-BR;;;;;
7891222161081    ;HA045WC-BR;;;;;
7891222063781    ;H125BC-BR;;;;;
7891222260357    ;H135XCQ-BR;;;;;
7891222230947    ;HA168WC-BR;;;;;
7891222121764    ;H228BC-BR;;;;;
7891222260951    ;H196XCQ-BR;;;;;
7891222196137    ;HA196BC-BR;;;;;
7891222261392    ;H278BCQ-BR;;;;;
7891222111345    ;H165BC-BR;;;;;
7891222145302    ;H267BC-BR;;;;;
7891222261453    ;H285BCQ-BR;;;;;
7891222263075    ;HA278BCQ-BR;;;;;
7891222199077    ;HA318BC-BR;;;;;
7891222198568    ;HA278BC-BR;;;;;
7891222217351    ;HA333XC-BR;;;;;
7891222198599    ;HA278XC-BR;;;;;
7891222201275    ;ACP2-22B-BR;;;;;
7891222261552    ;H296XCQ-BR;;;;;
7891222162514    ;H296XC-BR;;;;;
7891222196502    ;ACP24-76-BR;;;;;
7891222269190    ;PIU-525-BR;;;;;
7891222310021    ;MONOP2;;;;;
7900000196631    ;3D-036-Gela;;;;;
7898152184814    ;30011011    ;;;;;
7898152180342    ;20000122    ;;;;;
50375018971    ;IN-44837AM;;;;;
7895286137235    ;E039.531.23;;;;;
7900000189336    ;IPC-IDAF41018;;;;;
7900000189398    ;IPC-MSUB00405;;;;;
7900000189411    ;IPC-MSUB00551;;;;;
7898152180144    ;FW004642;;;;;
7894023080384    ;FLCRP20;;;;;
7894023016970    ;FCDJ;;;;;
7898964436026    ;T-1102;;;;;
7898964436118    ;T-1201;;;;;
7898964436170    ;T-1207;;;;;
7898964436194    ;T-1209;;;;;
7898964436224    ;T-2202;;;;;
7898338260530    ;ARKE-11;;;;;
7900000197485    ;KDT-2028;;;;;
7900000197614    ;KDT-2125;;;;;
7900000196754    ;CFA460;;;;;
7891594047617    ;003D-HLCRCR;;;;;
7891594049536    ;G022-CIAPAP;;;;;
7894395008054    ;T-CDN17001;;;;;
7894395008061    ;T-CDV17001;;;;;
7898425522848    ;7957710    ;;;;;
7898425485808    ;7965679    ;;;;;
7898425489844    ;7965685    ;;;;;
7898425522466    ;7965688    ;;;;;
7898425489165    ;7951853    ;;;;;
7898425487628    ;7965682    ;;;;;
7898425523562    ;7950113    ;;;;;
7898425523487    ;7950105    ;;;;;
7898425523456    ;7950102    ;;;;;
7898425523500    ;7950107    ;;;;;
7898425486133    ;7951317    ;;;;;
7898425522794    ;7959256    ;;;;;
7899525670514    ;MART-7051;;;;;
7899525665190    ;MART-6519;;;;;
7899525665633    ;MART-6563;;;;;
7899525672204    ;MART-7220;;;;;
7899525665770    ;MART-6577;;;;;
7899525665497    ;MART-6549;;;;;
7899525665787    ;MART-6578;;;;;
7899525665800    ;MART-6580;;;;;
7899525666296    ;MART-6629;;;;;
7899525665213    ;MART-6521;;;;;
7899525664612    ;MART-6461;;;;;
7899525664629    ;MART-6462;;;;;
7899525664636    ;MART-6463;;;;;
7899525664643    ;MART-6464;;;;;
7899525666487    ;MART-6648;;;;;
7899525666494    ;MART-6649;;;;;
7899525662229    ;MART-6222;;;;;
7899525669891    ;MART-6989;;;;;
7899525668702    ;MART-6870;;;;;
7899525672037    ;MART-7203;;;;;
7899525668740    ;MART-6874;;;;;
7899525670545    ;MART-7054;;;;;
7899525670217    ;MART-7021;;;;;
7899525666067    ;MART-6606;;;;;
7898292025428    ;140320021    ;;;;;
7898292025718    ;100310025    ;;;;;
7898292020515    ;147200042    ;;;;;
7898292026579    ;147400050    ;;;;;
7898292026586    ;147400051    ;;;;;
7898292029921    ;147400061    ;;;;;
7898292024834    ;140140029    ;;;;;
7898292024865    ;140140032    ;;;;;
7898292024940    ;140140040    ;;;;;
7898292025145    ;149260074    ;;;;;
